ag2,7.4131,7.4131
alf3,15.3078,15.3078
ali3,9.84138,9.84138
ar,15.6254,15.6254
as2,9.91341,9.91341
ash3,10.4198,10.4198
b2h6,12.2873,12.2873
beo,9.8796,9.8796
bf,11.1983,11.1983
bh3,13.3106,13.3106
bn,11.9254,11.9254
br2,10.5427,10.5427
brk,8.17334,8.17334
c2h2,11.5527,11.5527
c2h3br,9.28742,9.28742
c2h3cl,10.1272,10.1272
c2h3f,10.5976,10.5976
c2h3i,9.36477,9.36477
c2h4,10.6851,10.6851
c2h4o,10.1836,10.1836
c2h6,12.7057,12.7057
c2h6o,10.613,10.613
c3h6,10.855,10.855
c3h8,12.0485,12.0485
c4,11.2735,11.2735
c4h10,11.564,11.564
c4h10o,9.74906,9.74906
c4h4n2o2,9.56616,9.56616
c4h5n3o,8.78454,8.78454
c5h5n5,8.3287,8.3287
c5h5n5o,8.04088,8.04088
c5h5n,9.71764,9.71764
c5h6,8.69334,8.69334
c5h6n2o2,9.15167,9.15167
c6f6,10.1452,10.1452
c6h5nh2,7.97589,7.97589
c6h5oh,8.69341,8.69341
c6h6,9.31586,9.31586
c7h8,8.90376,8.90376
c8h10,8.85322,8.85322
c8h8,8.40482,8.40482
cbr4,10.4759,10.4759
ccl4,11.604,11.604
cf4,16.2371,16.2371
ch2o2,11.4226,11.4226
ch4,14.382,14.382
ch4o,10.9603,10.9603
ci4,9.304,9.304
cl2,11.456,11.456
clh,12.644,12.644
co2,13.7312,13.7312
co,14.3722,14.3722
con2h4,10.0789,10.0789
cs2,10.014,10.014
cu2,7.37605,7.37605
f2,15.5281,15.5281
f2mg,13.7057,13.7057
fh,15.9007,15.9007
gacl,9.78684,9.78684
geh4,12.5319,12.5319
h2,16.4029,16.4029
h2co,10.7774,10.7774
h2nnh2,9.62125,9.62125
h2o,12.4765,12.4765
he,24.5122,24.5122
hn3,10.7188,10.7188
hooh,11.3886,11.3886
i2,9.55092,9.55092
k2,4.07952,4.07952
kh,6.12568,6.12568
kr,13.9783,13.9783
li2,5.2703,5.2703
lif,11.2754,11.2754
lih,7.96166,7.96166
mgcl2,11.7559,11.7559
mgo,8.17182,8.17182
n2,15.5961,15.5961
na2,4.94075,4.94075
na4,4.25147,4.25147
na6,4.37028,4.37028
nacl,9.11956,9.11956
nccu,10.6944,10.6944
nch,13.9015,13.9015
ne,21.2065,21.2065
nh3,10.768,10.768
o3,12.7886,12.7886
ocs,11.2419,11.2419
ocse,10.4962,10.4962
p2,10.5941,10.5941
ph3,10.5663,10.5663
pn,11.7983,11.7983
rb2,3.93271,3.93271
sf4,12.7023,12.7023
sh2,10.3529,10.3529
si2h6,10.7058,10.7058
si5h12,9.35631,9.35631
sih4,12.8441,12.8441
so2,12.3729,12.3729
tif4,15.6896,15.6896
xe,12.2329,12.2329
