ag2,-0.702731,-0.702731
alf3,0.66688,0.66688
ali3,-0.279695,-0.279695
ar,14.7305,14.7305
as2,-0.260892,-0.260892
ash3,2.85911,2.85911
b2h6,1.20422,1.20422
beo,-2.00723,-2.00723
bf,1.51414,1.51414
bh3,0.332193,0.332193
bn,-3.15644,-3.15644
br2,-0.936,-0.936
brk,-0.445288,-0.445288
c2h2,3.49669,3.49669
c2h3br,2.02131,2.02131
c2h3cl,2.12171,2.12171
c2h3f,2.7963,2.7963
c2h3i,1.39606,1.39606
c2h4,2.63405,2.63405
c2h4o,1.91091,1.91091
c2h6,3.11377,3.11377
c2h6o,2.85956,2.85956
c3h6,3.45582,3.45582
c3h8,2.9502,2.9502
c4,-0.00530321,-0.00530321
c4h10,2.88296,2.88296
c4h10o,2.9635,2.9635
c4h4n2o2,0.698296,0.698296
c4h5n3o,0.920076,0.920076
c5h5n5,1.2791,1.2791
c5h5n5o,1.57171,1.57171
c5h5n,1.23527,1.23527
c5h6,1.77173,1.77173
c5h6n2o2,0.768121,0.768121
c6f6,1.07552,1.07552
c6h5nh2,1.83164,1.83164
c6h5oh,1.62473,1.62473
c6h6,1.78331,1.78331
c7h8,1.71455,1.71455
c8h10,1.75667,1.75667
c8h8,0.793673,0.793673
cbr4,-0.488815,-0.488815
ccl4,0.859293,0.859293
cf4,4.88713,4.88713
ch2o2,2.69911,2.69911
ch4,3.45331,3.45331
ch4o,3.02642,3.02642
ci4,-1.62466,-1.62466
cl2,-0.192963,-0.192963
clh,2.69703,2.69703
co2,2.79833,2.79833
co,1.21564,1.21564
con2h4,2.32985,2.32985
cs2,0.289464,0.289464
cu2,-0.33655,-0.33655
f2,0.393814,0.393814
f2mg,-0.0366128,-0.0366128
fh,3.07196,3.07196
gacl,0.265069,0.265069
geh4,3.16234,3.16234
h2,4.22211,4.22211
h2co,1.66529,1.66529
h2nnh2,2.50789,2.50789
h2o,2.8819,2.8819
he,22.216,22.216
hn3,2.02473,2.02473
hooh,3.01271,3.01271
i2,-1.50376,-1.50376
k2,-0.323628,-0.323628
kh,-0.0366761,-0.0366761
kr,10.4098,10.4098
li2,-0.117696,-0.117696
lif,-0.0228233,-0.0228233
lih,0.0894303,0.0894303
mgcl2,-0.189525,-0.189525
mgo,-1.28544,-1.28544
n2,3.04522,3.04522
na2,-0.260359,-0.260359
na4,-0.104942,-0.104942
na6,-0.074012,-0.074012
nacl,-0.587493,-0.587493
nccu,-0.981722,-0.981722
nch,3.20627,3.20627
ne,20.8381,20.8381
nh3,2.83903,2.83903
o3,-1.51969,-1.51969
ocs,1.84584,1.84584
ocse,1.43779,1.43779
p2,-0.0992665,-0.0992665
ph3,2.94974,2.94974
pn,0.463935,0.463935
rb2,-0.366443,-0.366443
sf4,0.938006,0.938006
sh2,2.78804,2.78804
si2h6,2.27397,2.27397
si5h12,0.790041,0.790041
sih4,3.10248,3.10248
so2,-0.340188,-0.340188
tif4,-1.0643,-1.0643
xe,7.72236,7.72236
